hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
4399,-24519,-2425,25,11541,-23574,2270,32
4387,-24513,-2444,25,11537,-23571,2281,32
4380,-24525,-2453,23,11545,-23572,2275,32
4400,-24501,-2421,23,11537,-23562,2291,31
4391,-24527,-2437,23,11551,-23590,2283,33
4399,-24517,-2408,24,11549,-23580,2307,33
4390,-24509,-2432,22,11531,-23564,2265,31
4387,-24539,-2446,24,11543,-23598,2260,33
4387,-24505,-2439,26,11543,-23580,2280,33
4407,-24525,-2427,24,11545,-23596,2247,32
4391,-24525,-2428,23,11539,-23590,2289,32
4397,-24505,-2421,24,11537,-23592,2284,34
4399,-24505,-2429,25,11541,-23586,2291,32
4393,-24521,-2437,25,11545,-23570,2271,34
4395,-24543,-2435,24,11537,-23570,2281,33
4395,-24529,-2418,24,11551,-23598,2269,33
4386,-24533,-2432,23,11541,-23560,2276,34
4401,-24533,-2429,25,11561,-23598,2277,33
4405,-24537,-2443,24,11559,-23592,2280,33
4393,-24525,-2430,26,11541,-23602,2274,34
4408,-24549,-2421,27,11533,-23574,2282,32
4396,-24539,-2433,25,11541,-23572,2261,33
4388,-24543,-2452,24,11533,-23582,2279,33
4394,-24531,-2452,25,11537,-23554,2269,31
4396,-24543,-2429,26,11547,-23566,2277,34
4400,-24519,-2422,24,11553,-23572,2278,33
4400,-24517,-2451,26,11533,-23594,2270,34
4406,-24537,-2425,24,11541,-23596,2245,34
4404,-24527,-2422,25,11545,-23586,2270,34
4404,-24523,-2421,23,11541,-23582,2273,32
4386,-24525,-2428,24,11529,-23584,2258,33
4384,-24537,-2442,24,11545,-23603,2258,32
4393,-24519,-2446,24,11535,-23578,2278,33
4407,-24521,-2456,24,11531,-23558,2284,33
4409,-24525,-2435,24,11541,-23587,2284,33
4400,-24519,-2439,23,11541,-23558,2277,32
4411,-24523,-2441,26,11541,-23586,2268,34
4421,-24513,-2435,24,11541,-23570,2279,32
4393,-24491,-2456,24,11543,-23588,2255,33
4417,-24539,-2440,25,11563,-23580,2269,33
4403,-24515,-2438,23,11553,-23584,2269,33
4421,-24517,-2446,25,11539,-23564,2259,31
4417,-24527,-2433,25,11557,-23574,2278,34
4415,-24521,-2452,25,11539,-23572,2278,33
4405,-24523,-2445,25,11529,-23570,2247,33
4407,-24541,-2450,28,11543,-23566,2269,31
4406,-24525,-2450,25,11565,-23566,2265,34
4408,-24525,-2445,26,11537,-23578,2260,34
4413,-24503,-2451,27,11537,-23570,2269,35
4404,-24517,-2441,24,11549,-23568,2260,34
4408,-24509,-2462,24,11541,-23566,2272,34
4404,-24513,-2443,26,11541,-23566,2258,32
4396,-24517,-2467,23,11551,-23584,2296,36
4421,-24491,-2440,24,11545,-23578,2263,31
4408,-24511,-2449,25,11529,-23558,2311,33
4416,-24513,-2462,24,11533,-23572,2260,34
4408,-24507,-2468,26,11545,-23576,2294,32
4401,-24515,-2467,23,11541,-23566,2298,31
4403,-24509,-2440,25,11553,-23568,2242,33
4405,-24525,-2416,25,11539,-23574,2291,34
4405,-24499,-2472,25,11555,-23576,2273,33
4403,-24517,-2462,23,11529,-23564,2262,32
4425,-24495,-2459,24,11551,-23573,2245,32
4405,-24509,-2446,24,11549,-23558,2275,34
4411,-24517,-2433,25,11525,-23576,2260,32
4404,-24523,-2459,24,11543,-23576,2273,33
4408,-24499,-2437,23,11521,-23558,2249,33
4418,-24511,-2446,26,11539,-23562,2246,33
4414,-24521,-2441,25,11541,-23578,2263,33
4410,-24525,-2438,24,11529,-23584,2248,33
4430,-24513,-2444,24,11529,-23554,2269,30
4422,-24503,-2443,24,11549,-23574,2275,34
4408,-24515,-2450,25,11555,-23556,2276,33
4410,-24513,-2445,25,11545,-23568,2266,33
4406,-24529,-2449,24,11553,-23570,2257,33
4410,-24517,-2451,24,11527,-23558,2262,33
4404,-24515,-2451,24,11547,-23800,2258,32
4402,-24531,-2435,24,11545,-23566,2256,34
4414,-24523,-2447,25,11555,-23582,2255,35
4410,-24515,-2441,26,11543,-23578,2256,31
4398,-24509,-2441,24,11541,-23550,2263,34
4396,-24493,-2459,24,11559,-23587,2283,32
4406,-24501,-2455,25,11551,-23562,2274,33
4410,-24521,-2473,24,11553,-23584,2262,33
4412,-24505,-2461,24,11549,-23544,2242,32
4410,-24515,-2442,24,11547,-23584,2261,33
4396,-24533,-2457,24,11549,-23582,2250,32
4396,-24501,-2458,24,11537,-23558,2259,31
4416,-24527,-2456,25,11545,-23574,2267,33
4412,-24527,-2444,23,11543,-23566,2241,32
4396,-24529,-2448,25,11547,-23578,2244,33
4402,-24513,-2455,24,11545,-23584,2268,34
4406,-24511,-2461,24,11561,-23586,2265,33
4404,-24513,-2440,23,11551,-23564,2267,32
4414,-24519,-2462,24,11547,-23571,2253,33
4416,-24509,-2458,26,11535,-23584,2240,34
4404,-24525,-2460,26,11545,-23578,2247,33
4404,-24519,-2439,25,11547,-23572,2259,34
4411,-24515,-2461,24,11543,-23568,2283,34
4417,-24515,-2461,25,11551,-23572,2255,33
4411,-24523,-2441,24,11541,-23574,2267,33
4411,-24525,-2441,25,11545,-23552,2260,33
4404,-24509,-2442,23,11557,-23570,2257,32
4405,-24531,-2464,26,11565,-23566,2252,34
4409,-24509,-2459,24,11551,-23574,2264,32
4419,-24513,-2446,24,11531,-23544,2254,31
4407,-24517,-2439,24,11551,-23572,2269,34
4409,-24515,-2473,25,11549,-23574,2287,33
4398,-24501,-2449,23,11541,-23568,2270,32
4417,-24517,-2438,25,11545,-23586,2261,35
4419,-24499,-2448,24,11543,-23566,2268,34
4407,-24519,-2431,23,11549,-23568,2267,34
4407,-24485,-2464,23,11551,-23576,2266,31
4414,-24531,-2471,25,11549,-23570,2269,32
4410,-24517,-2444,24,11541,-23582,2281,32
4408,-24519,-2453,24,11555,-23568,2268,33
4406,-24503,-2454,22,11551,-23582,2273,34
4408,-24507,-2457,24,11567,-23584,2269,33
4413,-24509,-2463,25,11543,-23552,2264,33
4419,-24519,-2448,23,11541,-23576,2272,32
4396,-24495,-2429,23,11531,-23582,2264,34
4407,-24517,-2459,25,11539,-23592,2270,34
4403,-24501,-2444,22,11549,-23578,2279,32
4421,-24517,-2457,23,11539,-23570,2251,31
4409,-24511,-2463,25,11537,-23566,2267,34
4405,-24521,-2460,24,11549,-23578,2268,33
4410,-24523,-2460,25,11539,-23562,2270,32
4404,-24515,-2464,24,11543,-23570,2271,31
4404,-24533,-2458,25,11551,-23568,2261,35
4423,-24523,-2438,24,11551,-23586,2249,35
4396,-24505,-2451,26,11545,-23562,2262,33
4398,-24513,-2436,24,11543,-23570,2269,33
4398,-24489,-2428,23,11553,-23588,2270,34
4406,-24515,-2459,24,11525,-23562,2274,32
4410,-24515,-2447,25,11533,-23570,2280,33
4412,-24521,-2453,25,11545,-23574,2267,33
4404,-24515,-2438,22,11531,-23560,2253,33
4429,-24503,-2447,24,11543,-23554,2252,31
4403,-24509,-2467,25,11537,-23578,2244,34
4411,-24529,-2456,27,11537,-23572,2273,33
4416,-24501,-2437,24,11539,-23558,2253,33
4408,-24515,-2450,21,11539,-23558,2264,33
4416,-24505,-2420,25,11561,-23574,2267,33
4412,-24517,-2460,26,11539,-23554,2279,31
4418,-24513,-2462,24,11543,-23554,2253,34
4424,-24519,-2462,25,11557,-23560,2274,34
4424,-24503,-2498,24,11547,-23548,2255,32
4437,-24485,-2460,24,11553,-23550,2223,35
4421,-24505,-2464,24,11533,-23550,2248,33
4434,-24493,-2462,26,11543,-23546,2252,33
4435,-24469,-2456,24,11537,-23556,2251,33
4437,-24487,-2464,22,11551,-23550,2259,33
4449,-24483,-2460,23,11551,-23562,2243,34
4444,-24495,-2461,23,11555,-23544,2267,33
4443,-24495,-2463,23,11553,-23804,2256,34
4461,-24501,-2490,25,11545,-23558,2250,33
4451,-24479,-2473,25,11537,-23552,2259,31
4452,-24469,-2480,23,11551,-23542,2257,34
4453,-24483,-2468,24,11533,-23522,2276,34
4460,-24493,-2466,24,11547,-23558,2266,33
4457,-24479,-2475,25,11541,-23540,2239,32
4451,-24461,-2472,23,11537,-23546,2250,33
4471,-24485,-2473,23,11555,-23542,2267,32
4469,-24471,-2457,23,11539,-23528,2253,32
4470,-24489,-2484,25,11539,-23538,2246,33
4456,-24497,-2476,25,11535,-23556,2270,35
4469,-24477,-2475,24,11539,-23520,2238,30
4467,-24467,-2487,25,11543,-23524,2264,34
4462,-24469,-2476,23,11529,-23532,2256,33
4459,-24505,-2469,25,11551,-23526,2262,32
4461,-24497,-2464,24,11545,-23544,2249,33
4461,-24487,-2471,26,11543,-23542,2248,31
4441,-24507,-2474,23,11531,-23516,2266,32
4455,-24475,-2486,24,11523,-23554,2258,32
4449,-24481,-2475,24,11531,-23542,2246,32
4465,-24501,-2489,23,11529,-23528,2273,32
4455,-24473,-2452,23,11525,-23546,2252,35
4465,-24487,-2472,25,11545,-23528,2256,32
4443,-24487,-2472,23,11549,-23534,2252,32
4473,-24497,-2495,26,11537,-23536,2247,33
4465,-24499,-2480,25,11537,-23538,2248,33
4465,-24475,-2442,23,11535,-23538,2249,31
4455,-24458,-2460,23,11537,-23524,2257,34
4450,-24501,-2451,21,11525,-23528,2259,32
4435,-24489,-2459,24,11551,-23298,2252,33
4441,-24497,-2482,24,11531,-23540,2266,32
4433,-24491,-2487,24,11549,-23530,2242,33
4431,-24497,-2436,26,11537,-23554,2258,34
4455,-24483,-2445,23,11539,-23546,2264,34
4439,-24477,-2466,23,11529,-23550,2248,34
4453,-24489,-2460,25,11553,-23554,2250,34
4459,-24475,-2455,24,11537,-23554,2262,33
4439,-24481,-2446,23,11541,-23538,2249,34
4447,-24483,-2455,24,11559,-23554,2278,35
4437,-24491,-2454,24,11547,-23542,2245,32
4471,-24493,-2458,26,11543,-23546,2278,34
4446,-24497,-2461,25,11543,-23538,2267,33
4453,-24499,-2467,24,11547,-23534,2275,33
4455,-24485,-2453,23,11559,-23528,2259,33
4447,-24485,-2474,24,11541,-23544,2253,32
4455,-24473,-2481,25,11543,-23520,2253,33
4437,-24489,-2452,23,11531,-23536,2262,32
4453,-24489,-2454,24,11545,-23552,2282,33
4434,-24531,-2444,24,11547,-23546,2271,33
4442,-24491,-2465,24,11539,-23546,2278,32
4444,-24497,-2470,26,11515,-23542,2269,32
4450,-24503,-2451,25,11531,-23550,2266,33
4435,-24493,-2472,25,11533,-23536,2240,34
4442,-24487,-2476,25,11543,-23544,2260,34
4440,-24485,-2443,23,11557,-23568,2279,34
4445,-24463,-2447,25,11545,-23540,2234,34
4439,-24519,-2465,23,11535,-23808,2258,35
4444,-24485,-2447,25,11545,-23554,2273,35
4438,-24489,-2452,25,11541,-23534,2247,31
4439,-24489,-2447,24,11541,-23570,2254,34
4451,-24493,-2457,24,11543,-23558,2252,36
4441,-24481,-2462,23,11527,-23548,2253,33
4435,-24481,-2460,24,11541,-23550,2249,32
4452,-24493,-2454,24,11555,-23574,2263,34
4434,-24493,-2463,25,11539,-23556,2264,32
4441,-24477,-2454,22,11535,-23550,2244,33
4440,-24511,-2460,25,11529,-23560,2259,32
4436,-24495,-2480,25,11553,-23556,2247,33
4440,-24479,-2456,22,11537,-23554,2229,33
4429,-24485,-2479,24,11535,-23550,2255,34
4441,-24487,-2471,24,11537,-23802,2271,34
4441,-24487,-2444,24,11543,-23556,2271,33
4431,-24511,-2452,24,11529,-23570,2242,32
4439,-24485,-2480,24,11547,-23554,2262,33
4431,-24499,-2476,23,11549,-23554,2266,33
4435,-24479,-2457,24,11543,-23566,2255,34
4425,-24489,-2462,24,11535,-23562,2248,33
4431,-24487,-2461,25,11553,-23560,2250,34
4443,-24519,-2468,25,11535,-23560,2247,34
4427,-24473,-2460,24,11547,-23564,2223,35
4441,-24479,-2469,25,11535,-23558,2250,34
4423,-24499,-2471,24,11541,-23564,2253,34
4428,-24475,-2472,22,11539,-23572,2256,33
4451,-24473,-2446,24,11523,-23800,2263,33
4449,-24473,-2458,25,11541,-23564,2263,36
4457,-24473,-2453,25,11533,-23558,2265,32
4453,-24483,-2477,24,11535,-23554,2252,34
4423,-24483,-2458,23,11539,-23576,2263,34
4441,-24479,-2468,24,11537,-23562,2265,32
4434,-24497,-2477,23,11527,-23576,2256,33
4431,-24485,-2472,24,11541,-23560,2255,34
4449,-24499,-2469,26,11533,-23552,2274,31
4447,-24509,-2464,26,11541,-23540,2257,32
4441,-24489,-2467,24,11549,-23562,2238,32
4452,-24519,-2469,24,11529,-23552,2258,32
4441,-24489,-2448,24,11537,-23566,2276,33
4430,-24489,-2450,24,11547,-23562,2244,33
4428,-24491,-2455,25,11533,-23558,2268,35
4437,-24467,-2469,23,11533,-23570,2278,33
4429,-24477,-2450,24,11551,-23554,2265,32
4439,-24495,-2460,23,11521,-23306,2252,31
4438,-24499,-2464,25,11539,-23572,2270,32
