hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
8415,32767,-7775,6,-5038,-32493,-11545,6
8429,32767,-7776,7,-5044,-32487,-11560,7
8407,32767,-7784,5,-5051,-32484,-11531,6
8414,32767,-7781,7,-5048,-32495,-11539,5
8421,32767,-7770,5,-5044,-32481,-11541,6
8408,32767,-7795,5,-5040,-32479,-11541,8
8408,32767,-7786,7,-5053,-32474,-11524,6
8412,32767,-7791,4,-5060,-32489,-11541,6
8423,32767,-7794,8,-5050,-32489,-11546,6
8417,32767,-7808,7,-5045,-32494,-11554,5
8414,32767,-7792,6,-5044,-32481,-11538,6
8412,32767,-7776,7,-5042,-32477,-11522,6
8413,32767,-7773,7,-5045,-32484,-11536,6
8406,32767,-7787,4,-5050,-32499,-11525,7
8424,32767,-7796,7,-5048,-32479,-11528,7
8413,32767,-7813,8,-5040,-32475,-11525,7
8394,32767,-7801,6,-5046,-32493,-11540,7
8423,32767,-7803,7,-5052,-32481,-11530,7
8420,32767,-7784,4,-5047,-32480,-11539,5
8418,32767,-7779,6,-5064,-32495,-11537,7
8414,32767,-7779,5,-5055,-32482,-11528,5
8416,32767,-7804,7,-5056,-32493,-11526,7
8416,32767,-7777,6,-5045,-32479,-11528,5
8409,32767,-7793,6,-5061,-32470,-11573,6
8408,32767,-7784,8,-5043,-32472,-11541,5
8403,32767,-7792,9,-5042,-32469,-11538,7
8416,32767,-7801,7,-5046,-32491,-11551,7
8424,32767,-7789,5,-5044,-32496,-11557,5
8402,32767,-7796,7,-5052,-32495,-11558,6
8411,32767,-7800,7,-5044,-32499,-11549,8
8419,32767,-7799,6,-5056,-32491,-11531,6
8423,32767,-7795,8,-5054,-32475,-11542,6
8411,32767,-7783,5,-5058,-32499,-11541,7
8410,32767,-7809,6,-5046,-32481,-11537,7
8410,32767,-7800,5,-5046,-32489,-11535,6
8404,32767,-7789,5,-5048,-32483,-11553,7
8406,32767,-7794,6,-5038,-32495,-11562,6
8406,32767,-7788,7,-5040,-32489,-11533,6
8400,32767,-7795,5,-5046,-32491,-11537,5
8411,32767,-7812,7,-5051,-32472,-11549,6
8400,32767,-7807,6,-5051,-32490,-11539,6
8408,32767,-7791,6,-5048,-32463,-11538,7
8394,32767,-7816,6,-5034,-32478,-11547,5
8403,32767,-7820,8,-5041,-32502,-11534,7
8409,32767,-7794,8,-5057,-32492,-11547,7
8407,32767,-7796,8,-5050,-32501,-11545,5
8406,32767,-7783,6,-5056,-32487,-11545,7
8408,32767,-7811,5,-5036,-32475,-11549,5
8407,32767,-7801,8,-5038,-32475,-11551,6
8410,32767,-7808,5,-5038,-32493,-11519,7
8404,32767,-7772,6,-5042,-32499,-11573,6
8416,32767,-7787,6,-5048,-32491,-11562,6
8404,32767,-7798,6,-5058,-32503,-11586,7
8409,32767,-7788,5,-5054,-32487,-11554,6
8403,32767,-7779,5,-5062,-32486,-11546,5
