Tilt Angle (deg),Bx,By,Bz,Magnitude,
0,3.869573772118063,-4.328993779888324e-16,-2.268321529779029,4.485407867777812,
1,3.976025750931414,-4.2389475640390124e-16,-2.1614982879294025,4.525577932241522,
2,4.081266593784314,-6.21107773133187e-16,-2.0540166327622367,4.568995659573746,
3,4.185264243296679,-8.068852454867936e-16,-1.9459093042311015,4.615517284824193,
4,4.287987020776974,-5.880300426634461e-16,-1.8372092328754603,4.664994153877862,
5,4.389403635872055,-2.488258417557335e-14,-1.7279495297900165,4.717273985694318,
6,4.489483196098568,-4.624188108184714e-16,-1.6181634765387776,4.772202049877549,
7,4.588195216252932,-5.297038989262469e-16,-1.5078845150170754,4.829622247451096,
8,4.685509627697584,-2.3263580645380994e-16,-1.3971462372649168,4.88937808719578,
9,4.781396787520119,-5.963942564094864e-16,-1.2859823752344741,4.951313553908843,
10,4.875827487562702,-3.0766849122038306e-16,-1.1744267905148587,5.015273868369608,
11,4.968772963319367,-4.367007523327912e-16,-1.0625134640179288,5.081106141602722,
12,5.060204902697874,-4.109139618387023e-16,-0.9502764856271397,5.148659928216611,
13,5.1500954546436475,-3.8417378258033947e-16,-0.8377500438131884,5.217787685202432,
14,5.238417237623872,-2.2229622601898235e-16,-0.7249684152204745,5.288345143662827,
15,5.325143347967835,-3.2796469479365484e-16,-0.6119659542255587,5.360191601569601,
16,5.410247368062177,-4.163202565937393e-14,-0.49877708247277175,5.433190145910942,
17,5.493703374397963,-4.300599425971258e-14,-0.3854362783888554,5.507207812546192,
18,5.575485945467232,-2.33133623631155e-16,-0.27197806668075564,5.582115691819548,
19,5.655570169506542,-1.370747666556034e-16,-0.15843700781880332,5.657788987551483,
20,5.733931652085468,-4.741434753782528e-14,-0.044847687509509515,5.734107036484629,
21,5.810546523537349,-6.027076709462398e-17,0.06875529383990098,5.81095329465166,
22,5.88539144623013,-2.510231487556511e-17,0.18233733166074317,5.8882152964948515,
23,5.958443621675318,1.0549474045649896e-17,0.295863827764009,5.965784591926066,
24,6.029680797472622,-7.925421685835052e-14,0.40930020087918256,6.043556665892181,
25,6.099081274088157,-5.4169315456752106e-14,0.5226118971882866,6.121430844419918,
26,6.166623911464465,-5.5521880717759164e-14,0.6357644008508198,6.19931019056431,
27,6.232288135459977,-8.52353238677433e-14,0.7487232445180261,6.277101393181154,
28,6.296053944115851,1.2871609743283235e-16,0.8614540198319947,6.3547146509895684,
29,6.357901913749105,-5.933564953570063e-14,0.9739223879063493,6.432063553986367,
30,6.417813204869082,7.316058800956577e-14,1.0860940897868099,6.509064963914694,
31,6.475769567916069,-9.282811957820178e-14,1.1979349568862019,6.585638895177735,
32,6.531753348820489,2.334007829703908e-16,1.309410921393188,6.66170839731757,
33,6.5857474943803505,-9.645040791223598e-14,1.4204880266488513,6.7371994399445985,
34,6.637735557455852,-1.0453125071202534e-13,1.5311324374911344,6.812040800806415,
35,6.687701701979362,2.01004343028213e-16,1.641310450560495,6.886163957514863,
36,6.735630707779215,-6.779276040698314e-14,1.7509885045668487,6.959502983310201,
37,6.7815079752159875,3.9996587086702906e-16,1.8601331905125573,7.031994447122699,
38,6.825319529629565,8.499255957243627e-14,1.968711261868909,7.103577318094891,
39,6.867052025596046,8.625490598083428e-14,2.076689644703543,7.1741928746488055,
40,6.906692750992881,-7.197606227812145e-14,2.184035447755038,7.24378461811698,
41,6.944229630871169,3.0822079639680865e-16,2.2907159724519772,7.312298190905219,
42,6.979651231133628,9.015191863408508e-14,2.3966987228730097,7.379681299113552,
43,7.012946762017647,-1.6533139865744067e-13,2.501951415645708,7.445883639511522,
44,7.044106081382069,9.256567221971972e-14,2.606441989780272,7.5108568307386605,
45,7.073119697796272,-3.4032074379320063e-16,2.710138616435544,7.574554348583736,
46,7.099978773431664,-7.797510827152684e-14,2.8130097086145627,7.636931465185476,
47,7.124675126753694,9.600560816758471e-14,2.915023930786135,7.697945191987184,
48,7.14720123501377,-4.643964120769347e-14,3.0161502084298784,7.757554226274797,
49,7.167550236541223,9.817818700671347e-14,3.116357737502061,7.815718901126825,
50,7.185715932832981,9.937615996094551e-14,3.215615993818547,7.8724011386025925,
51,7.201692790441975,-1.8076198251696947e-13,3.3138947423529324,7.927564406001274,
52,7.215475942662669,-7.464814912948946e-14,3.411164046446353,7.981173675024995,
53,7.227061191013357,-8.357664025332203e-14,3.50739427692661,8.033195383685682,
54,7.236445006515135,-4.94304136042264e-14,3.602556121133189,8.083597400800713,
55,7.243624530766912,2.491393105821187e-15,3.696620591846544,8.132348992928922,
56,7.248597576816026,-1.3682511912175328e-13,3.789559036117627,8.179420793604148,
57,7.251362629824505,1.3042118770584102e-16,3.881343143996003,8.224784774731807,
58,7.251918847530452,1.0654508060837656e-13,3.971944957153381,8.268414220019675,
59,7.250266060504517,1.0717347263583592e-13,4.061336877399679,8.310283700321563,
60,7.246404772201615,1.085236921323191e-15,4.1494916750900455,8.350369050780207,
