Tilt Angle (deg),Bx,By,Bz,Magnitude,
0,14.769365542435352,-1.6522877022474514e-15,-8.657715762515373,17.119877357930573,
1,15.175670805081731,-1.6179189175721422e-15,-8.249993465379399,17.273198214662298,
2,15.577353411390504,-2.3706403554701786e-15,-7.839758140313878,17.438914731197496,
3,15.974291004949158,-3.07971467743051e-15,-7.427134748973671,17.616478186351884,
4,16.366362674721273,-2.2443894758146798e-15,-7.012248980440686,17.805321198007103,
5,16.753448991878074,-9.497169532661584e-14,-6.595227212938996,18.00486254081801,
6,17.135432046177737,-1.764957293200272e-15,-6.176196475338841,18.214511640753997,
7,17.51219548188142,-2.021770606588729e-15,-5.755284408462123,18.43367270019502,
8,17.883624533196887,-8.879229253962217e-16,-5.3326192262019765,18.66174842441138,
9,18.249606059237095,-2.2763139557613985e-15,-4.90832967646746,18.898143335529934,
10,18.610028578483597,-1.1743072183984089e-15,-4.482545001965111,19.14226667316644,
11,18.964782302745675,-1.6667967646289746e-15,-4.055394900831794,19.39353489161344,
12,19.313759170602573,-1.5683739001477183e-15,-3.627009487126486,19.65137377181912,
13,19.656852880319267,-1.4663121472532042e-15,-3.197519251195377,19.91522017252837,
14,19.99395892222852,-8.484588779350476e-16,-2.767055019925478,20.18452344909476,
15,20.32497461056425,-1.2517736442505906e-15,-2.3357479168914423,20.458746570876333,
16,20.64979911474114,-1.5890086129532034e-13,-1.903729322415158,20.737366969125738,
17,20.968333490068567,-1.6414501625844492e-13,-1.4711308335452475,21.019877147122877,
18,21.280480707890202,-8.89822990958607e-16,-1.0380842239723496,21.30578508328072,
19,21.58614568513947,-5.231861322732953e-16,-0.6047214038885631,21.594614456303365,
20,21.885235313303316,-1.809707921291041e-13,-0.17117437980728134,21.885904719406984,
21,22.177658486783766,-2.300410957810076e-16,0.26242478564847627,22.17921104828877,
22,22.46332613064935,-9.581036212047745e-17,0.6959440139723023,22.47410418509485,
23,22.74215122776839,4.026516811316728e-17,1.1292512510076662,22.77017019819109,
24,23.014048845315344,-3.0249701090973474e-13,1.562214507172453,23.067010175160988,
25,23.278936160641813,-2.0675311243035157e-13,1.9947018976652107,23.364239864198154,
26,23.536732486505596,-2.1191557525862277e-13,2.4265816826367184,23.66148927696302,
27,23.78735929564877,-3.253256636173408e-13,2.8577223073207074,23.95840226405021,
28,24.03074024471699,4.912828146291315e-16,3.2879924421068525,24.25463607247927,
29,24.266801197515672,-2.2647194479275053e-13,3.7172610225433167,24.549860893077742,
30,24.49547024759192,2.7923888553269384e-13,4.145397289262634,24.843759404254563,
31,24.716677740137676,-3.543057999168007e-13,4.57227082780993,25.13602631747228,
32,24.930356293207982,8.90842683093094e-16,4.997751608370943,25.426367928693026,
33,25.136440818245607,-3.6813132790929774e-13,5.421710025377294,25.714501679177854,
34,25.334868539907827,-3.989742393588753e-13,5.84401693698906,26.000155728268755,
35,25.525579015188406,7.671921489626446e-16,6.264543704429366,26.283068540133062,
36,25.70851415182907,-2.5875099391978306e-13,6.6831622311711785,26.5629884859168,
37,25.88361822601522,1.5265872933856071e-15,7.099745001956325,26.839673462300375,
38,26.050837899349492,3.24399082337543e-13,7.51416512163706,27.11289052707975,
39,26.210122235099412,3.292171984001308e-13,7.926296353830322,27.382415552094677,
40,26.36142271371328,-2.74717794954662e-13,8.33601315937037,27.648032893576254,
41,26.50469324759988,1.1764152534229335e-15,8.743190734549527,27.90953507979091,
42,26.639890195166537,3.4409129249650794e-13,9.147705049133624,28.1667225157006,
43,26.76697237411316,-6.310358727383232e-13,9.549432884143927,28.419403204242457,
44,26.885901073977365,3.5330409244167826e-13,9.94825186939035,28.667392483735345,
45,26.996640067924698,-1.2989341366152695e-15,10.344040520746354,28.910512780853953,
46,27.09915562378498,-2.976149170668963e-13,10.73667827715482,29.14859337857052,
47,27.193416514327076,3.6643361896024696e-13,11.126045537351658,29.381470198424367,
48,27.27939402677011,-1.772505389606621e-13,11.512023696297248,29.608985596468685,
49,27.35706197153139,3.747259046057766e-13,11.89449518130558,29.830988172239795,
50,27.42639669020222,3.7929832046162404e-13,12.273343487857055,30.04733259008624,
51,27.48737706275564,-6.899312309807994e-13,12.648453215087528,30.257879412218614,
52,27.539984513979654,-2.849165997308758e-13,13.019710100940294,30.462494942843502,
53,27.584203019134947,-3.189948101271833e-13,13.38700105697179,30.66105108276977,
54,27.620019108836388,-1.8866570077949008e-13,13.750214202798436,30.85342519389585,
55,27.647421873156155,9.509133991683923e-15,14.109238900177651,31.039499973011157,
56,27.66640296494667,-5.222332790906613e-13,14.463965786708497,31.219163334366986,
57,27.676956602383605,4.977907927703854e-16,14.814286809145052,31.392308300503082,
58,27.67907957072692,4.0666061300907086e-13,15.160095256310614,31.558832900838457,
59,27.672771223299687,4.0905905586196913e-13,15.50128579160182,31.71864007756322,
60,27.658033481685557,4.142125653905309e-15,15.83775448507651,31.87163759839774,
