Tilt Angle (deg),Bx,By,Bz,Magnitude,
0,14.400806586913797,-2.156027574583296e-15,-14.109709271960693,20.16102988671346,
1,14.959608636544477,-2.1330226623631457e-15,-13.674512310937281,20.26776202496347,
2,15.513853844467398,-3.159015883610711e-15,-13.235149960995875,20.3923724857493,
3,16.063373382223357,-4.150048529531447e-15,-12.791756056164669,20.534385489153244,
4,16.607999860837552,2.7559500824918576e-14,-12.34446565852214,20.69327165462273,
5,17.147567381808845,3.1224290017555427e-14,-11.89341501705653,20.86845437212877,
6,17.681911587643583,-2.2778290804311294e-15,-11.438741526162682,21.059316349198113,
7,18.210869711920065,7.819537937691355e-14,-10.980583683790433,21.265206175846316,
8,18.734280628869676,-1.4892205033765157e-15,-10.519081049256645,21.485444766214915,
9,19.251984902456563,-3.110991427296513e-15,-10.054374200734639,21.719331556307477,
10,19.763824834944057,-1.7506094230436222e-15,-9.586604692432196,21.966150359935956,
11,20.269644514930526,-2.534375664857863e-15,-9.115915011473028,22.225174808267592,
12,20.769289864841063,5.4354281794974434e-14,-8.642448534493383,22.495673320911212,
13,21.26260868786225,5.766016590085991e-14,-8.166349483968942,22.77691357729302,
14,21.74945071430169,-1.7075673984537566e-15,-7.687762884282449,23.068166475443796,
15,22.229667647361776,-2.117427723113093e-15,-7.206834517548419,23.368709580879518,
16,22.703113208312754,6.777665089611442e-14,-6.723710879206047,23.67783008082917,
17,23.169643181050592,7.132718156593465e-14,-6.238539133395895,23.99482726872849,
18,23.629115456026174,-1.4741734198772621e-15,-5.751467068131666,24.31901459085088,
19,24.08139007353347,-1.0836775168489124e-15,-5.262643050282742,24.649721291494668,
20,24.5263292663425,8.036687633029798e-14,-4.772215980380279,24.986293695633325,
21,24.963797501665436,-1.0215046381887857e-15,-4.280335247260792,25.32809616874313,
22,25.393661522439437,-8.714341121668198e-16,-3.787150682560396,25.67451179299499,
23,25.815790387919797,-7.181892756302591e-16,-3.2928125150751524,26.024942797486563,
24,26.230055513564633,9.33898403250856e-14,-2.7974713249995724,26.378810777949738,
25,26.636330710204003,9.616062424572e-14,-2.3012779980587705,26.73555673868989,
26,27.034492222477024,9.902514524362064e-14,-1.8043836795466046,27.09464098655276,
27,27.42441876653013,1.0213968716781992e-13,-1.306939728286382,27.45554290367217,
28,27.805991566960767,-1.999516505333869e-16,-0.8090976705243026,27.81776062270903,
29,28.179094392997172,1.080465772862974e-13,-0.31100915377376404,28.18081062537371,
30,28.543613593904652,1.1093903516494132e-13,0.18717409937770402,28.544227282265258,
31,28.899438133603052,1.1377776864954382e-13,0.6853003374854137,28.907562349504808,
32,29.246459624491056,2.656398395580481e-16,1.1832178264715747,29.270384435327554,
33,29.584572360460395,1.1942488047394235e-13,1.6807748958457605,29.632278447696567,
34,29.91367334909666,2.6929389840510034e-13,2.177819984904629,29.992845032159014,
35,30.23366234305059,3.809415517059153e-16,2.6742016888991187,30.35170000752027,
36,30.54444187057451,1.272517643427283e-13,3.1697688051535495,30.70847380549919,
37,30.845917265214382,1.0223770412248373e-15,3.6643703791236937,31.06281091929463,
38,31.137996694643892,4.5016806363472215e-13,4.15785575037878,31.41436936493572,
39,31.420591188639676,1.361784527581581e-13,4.650074598494301,31.762820158405063,
40,31.693614666181226,1.379054688639526e-13,5.1408769888408825,32.10784681075284,
41,31.9569839616728,8.701269036594227e-16,5.63011341825576,32.449144842800344,
42,32.21061885027523,4.826975794570665e-13,6.117634860583308,32.78642132049685,
43,32.45444207234445,1.4661431857265169e-13,6.603292812069518,33.11939441156934,
44,32.68837935696542,4.974426076524899e-13,7.086939336597631,33.44779296374423,
45,32.91235944457484,-1.6560111567526873e-15,7.5684271107510845,33.77135610453993,
46,33.12631410866796,1.51185581793481e-13,8.047609468689597,34.08983286240454,
47,33.33017817658195,1.5508797648215485e-13,8.524340446824993,34.40298180879205,
48,33.5238895493468,-1.1701729334606322e-13,8.998474828283104,34.71057072063276,
49,33.70738922060161,5.341970131043119e-13,9.469868187138454,35.0123762625576,
50,33.88062129456887,1.623605446050336e-13,9.938376932407252,35.30818368815646,
51,34.043533003080974,1.648492106706699e-13,10.403858351787227,35.59778655950277,
52,34.19607472165325,1.6334218609469942e-13,10.866170655128823,35.88098648414331,
53,34.338199984600585,2.461489843420969e-15,11.325173017625909,36.15759286874039,
54,34.46986549919083,7.338138751474478e-13,11.780725622712385,36.42742268854521,
55,34.59103115883306,2.439007027328992e-13,12.2326897046518,36.69030027189276,
56,34.70166005529327,5.795848597925012e-13,12.680927590806371,36.94605709891667,
57,34.801718489938274,6.952714924822186e-16,13.125302743573915,37.19453161371145,
58,34.891175983999446,5.897591685369198e-13,13.565679801978106,37.43556904918391,
59,34.97000528785748,5.942958640410866e-13,14.001924622900905,37.66902126387383,
60,35.03818238934259,1.7915974138675468e-13,14.433904321943865,37.89474659004684,
