Tilt Angle (deg),Bx,By,Bz,Magnitude,
0,-3.348369146654569e-16,7.246404772201626,4.149491675090057,8.350369050780222,
1,8.866628849118051e-14,7.250266060504474,4.061336877399636,8.310283700321506,
2,1.2018770722924894e-16,7.251918847530441,3.971944957153358,8.268414220019654,
3,-2.277548493351307e-16,7.251362629824545,3.8813431439960535,8.224784774731866,
4,-1.9205149987544967e-16,7.24859757681601,3.78955903611759,8.179420793604118,
5,1.212892995637312e-16,7.243624530766888,3.696620591846518,8.13234899292889,
6,2.251884031381539e-16,7.236445006515142,3.6025561211332096,8.083597400800729,
7,2.504542311089479e-16,7.227061191013344,3.5073942769265996,8.033195383685666,
8,1.2017560844301359e-15,7.2154759426626836,3.4111640464464057,7.981173675025031,
9,2.9958748706564447e-16,7.201692790441996,3.313894742352948,7.927564406001299,
10,3.233950537475663e-16,7.1857159328329585,3.2156159938185143,7.872401138602559,
11,3.7343432212463823e-16,7.167550236541203,3.1163577375020286,7.815718901126794,
12,9.767770985114467e-16,7.147201235013776,3.0161502084298846,7.757554226274805,
13,1.2105711225597058e-16,7.124675126753692,2.9150239307861403,7.697945191987185,
14,7.487146113125144e-16,7.099978773431685,2.813009708614537,7.636931465185485,
15,1.8676421866993706e-16,7.073119697796281,2.7101386164355636,7.574554348583752,
16,7.820955615564524e-16,7.044106081382068,2.6064419897802704,7.510856830738659,
17,0,7.012946762017653,2.5019514156456806,7.4458836395115195,
18,0,6.979651231133611,2.3966987228729772,7.379681299113526,
19,3.1151801279906993e-16,6.944229630871167,2.2907159724519417,7.3122981909052065,
20,3.4109616705251615e-16,6.9066927509928835,2.1840354477550132,7.243784618116975,
21,0,6.867052025596047,2.0766896447035506,7.174192874648808,
22,3.9806508697710086e-16,6.825319529629564,1.968711261868905,7.10357731809489,
23,5.737525399831226e-16,6.781507975215992,1.8601331905125698,7.031994447122706,
24,-6.706971707892546e-14,6.735630707779213,1.7509885045668567,6.9595029833102,
25,9.625452469362282e-16,6.687701701979356,1.6413104505604652,6.886163957514849,
26,5.023017852337723e-16,6.637735557455851,1.531132437491144,6.8120408008064155,
27,-6.349600237526946e-14,6.5857474943803505,1.4204880266489035,6.737199439944609,
28,9.941859351874937e-16,6.531753348820485,1.3094109213931864,6.661708397317566,
29,1.0020239648684724e-15,6.475769567916062,1.1979349568862632,6.585638895177739,
30,2.9596986611991997e-16,6.417813204869085,1.0860940897868165,6.509064963914698,
31,6.118569536941806e-16,6.3579019137491315,0.9739223879063825,6.432063553986398,
32,6.30726886100986e-16,6.296053944115856,0.861454019831972,6.354714650989569,
33,6.485265393543073e-16,6.2322881354599815,0.7487232445180583,6.277101393181163,
34,6.65234227318482e-16,6.166623911464503,0.6357644008508132,6.199310190564347,
35,6.808295942493534e-16,6.099081274088181,0.5226118971882429,6.121430844419939,
36,5.276656976179939e-16,6.029680797472615,0.4093002008792091,6.043556665892176,
37,7.086087411429466e-16,5.958443621675333,0.29586382776399883,5.96578459192608,
38,7.207586764942415e-16,5.885391446230146,0.1823373316607142,5.888215296494867,
39,-7.638171921626484e-14,5.810546523537354,0.06875529383988666,5.810953294651665,
40,5.784273826502814e-14,5.733931652085493,-0.044847687509486756,5.734107036484653,
41,7.500766614548922e-16,5.655570169506546,-0.15843700781880865,5.657788987551486,
42,6.076327206960698e-16,5.57548594546722,-0.2719780666807352,5.582115691819535,
43,6.173971111667531e-16,5.49370337439798,-0.3854362783888674,5.50720781254621,
44,-3.6893798300491323e-14,5.410247368062193,-0.49877708247279817,5.43319014591096,
45,6.337531632583566e-16,5.325143347967834,-0.6119659542255571,5.360191601569599,
46,7.745414648774377e-16,5.238417237623885,-0.7249684152205063,5.288345143662845,
47,6.458146589882043e-16,5.150095454643646,-0.8377500438131864,5.21778768520243,
48,-3.081480116141349e-14,5.0602049026978575,-0.950276485627142,5.148659928216594,
49,7.743191696525185e-16,4.968772963319405,-1.0625134640179603,5.081106141602766,
50,7.500343356626879e-15,4.875827487562724,-1.1744267905148682,5.01527386836963,
51,-2.671118096511958e-14,4.7813967875201095,-1.2859823752344686,4.951313553908832,
52,-2.5391818886574187e-14,4.685509627697604,-1.3971462372649708,4.889378087195815,
53,3.3978416040211546e-14,4.5881952162529425,-1.5078845150170879,4.829622247451109,
54,6.53553729852886e-16,4.489483196098594,-1.618163476538842,4.772202049877595,
55,-1.3830479590057528e-14,4.389403635872071,-1.7279495297900207,4.717273985694334,
56,0,4.287987020776971,-1.8372092328754426,4.664994153877852,
57,2.619038931555899e-14,4.185264243296679,-1.9459093042311049,4.615517284824194,
58,5.60579217005208e-16,4.08126659378434,-2.054016632762287,4.568995659573792,
59,-2.8058642428885134e-14,3.9760257509313695,-2.1614982879293403,4.525577932241453,
60,4.944331678185616e-16,3.869573772118094,-2.268321529779066,4.485407867777856,
