Tilt Angle (deg),Bx,By,Bz,Magnitude,
0,1.740372508805525e-13,35.0381823893426,14.4339043219439,37.89474659004687,
1,-1.7102057141695885e-13,34.97000528785733,14.001924622900889,37.66902126387369,
2,1.1390088126620643e-15,34.89117598399939,13.565679801978112,37.43556904918386,
3,-2.714033964012984e-16,34.801718489938274,13.125302743573911,37.19453161371145,
4,-1.0869705691386778e-16,34.70166005529329,12.680927590806434,36.946057098916704,
5,1.5060353926547271e-15,34.591031158832934,12.23268970465182,36.690300271892646,
6,1.588389795156191e-15,34.469865499190774,11.780725622712445,36.42742268854518,
7,1.6944714444398721e-15,34.33819998460048,11.325173017625927,36.15759286874029,
8,6.1363157219679795e-15,34.1960747216534,10.866170655128887,35.88098648414348,
9,-1.580853555138258e-13,34.043533003080995,10.403858351787251,35.5977865595028,
10,1.995604515719922e-15,33.8806212945689,9.938376932407298,35.308183688156504,
11,2.5816930728846638e-15,33.70738922060148,9.469868187138497,35.01237626255748,
12,1.58994140756529e-13,33.52388954934666,8.99847482828316,34.71057072063264,
13,1.2750760043743613e-15,33.33017817658199,8.524340446825004,34.402981808792084,
14,-1.4602398359566015e-13,33.126314108668,8.047609468689593,34.08983286240458,
15,1.554663093785107e-15,32.912359444574825,7.568427110751066,33.77135610453992,
16,5.0446701459499005e-15,32.68837935696536,7.086939336597621,33.44779296374417,
17,0,32.45444207234448,6.6032928120695225,33.11939441156937,
18,0,32.21061885027511,6.117634860583325,32.786421320496736,
19,1.4099004944174168e-13,31.95698396167266,5.630113418255744,32.4491448428002,
20,2.1930345958278634e-15,31.693614666181332,5.140876988840829,32.10784681075294,
21,0,31.42059118863974,4.650074598494343,31.762820158405138,
22,2.4208789230428876e-15,31.13799669464393,4.157855750378805,31.414369364935762,
23,2.9389055480803652e-15,30.845917265214368,3.664370379123691,31.062810919294616,
24,1.3140719448019728e-13,30.544441870574495,3.16976880515356,30.708473805499178,
25,-1.1952188313200094e-13,30.233662343050465,2.6742016888991356,30.35170000752015,
26,2.8232639345518987e-15,29.91367334909676,2.1778199849046813,29.99284503215912,
27,2.42705706388682e-13,29.584572360460534,1.6807748958456956,29.632278447696702,
28,4.73836889343307e-15,29.246459624491102,1.1832178264715916,29.270384435327603,
29,1.1837373574172541e-13,28.899438133603045,0.6853003374854093,28.9075623495048,
30,1.574098601160703e-15,28.543613593904734,0.18717409937769228,28.544227282265343,
31,3.2165525261340275e-15,28.17909439299721,-0.3110091537737537,28.180810625373745,
32,3.279580574643465e-15,27.805991566960635,-0.809097670524208,27.817760622708896,
33,3.3372045578813403e-15,27.42441876653017,-1.3069397282863775,27.45554290367221,
34,3.389354269900339e-15,27.034492222477056,-1.8043836795466108,27.094640986552793,
35,3.4359661743094406e-15,26.636330710203982,-2.3012779980587195,26.735556738689862,
36,2.7610575757265302e-15,26.23005551356469,-2.797471324999531,26.378810777949788,
37,3.5123562187505753e-15,25.81579038791965,-3.292812515075076,26.02494279748641,
38,3.5420412892804378e-15,25.393661522439274,-3.7871506825602883,25.674511792994814,
39,1.9320101336546554e-13,24.9637975016653,-4.280335247260766,25.328096168742995,
40,2.833490041775505e-13,24.526329266342564,-4.7722159803803095,24.986293695633393,
41,3.596643738399213e-15,24.08139007353335,-5.26264305028263,24.649721291494526,
42,2.994968392328054e-15,23.629115456026188,-5.7514670681316655,24.319014590850895,
43,3.016477292475877e-15,23.169643181050617,-6.238539133395938,23.99482726872852,
44,2.37212787950966e-13,22.703113208312704,-6.72371087920597,23.6778300808291,
45,3.044224537618575e-15,22.22966764736178,-7.206834517548433,23.368709580879525,
46,3.571897479933025e-15,21.74945071430156,-7.6877628842824794,23.068166475443682,
47,3.0515087366505017e-15,21.262608687862254,-8.166349483968936,22.77691357729302,
48,1.2907363222473352e-13,20.769289864841088,-8.642448534493479,22.495673320911273,
49,3.487864610057691e-15,20.269644514930548,-9.115915011473131,22.225174808267656,
50,1.8501857554679964e-13,19.763824834944213,-9.586604692432367,21.96615035993617,
51,1.0727170266173848e-13,19.251984902456606,-10.054374200734706,21.719331556307544,
52,1.5194450844925162e-13,18.734280628869552,-10.519081049256563,21.485444766214766,
53,9.254938420554556e-14,18.210869711919976,-10.98058368379036,21.265206175846203,
54,2.9162447720742894e-15,17.681911587643505,-11.438741526162623,21.059316349198017,
55,-2.4520953761469005e-14,17.147567381808933,-11.893415017056643,20.86845437212891,
56,0,16.60799986083761,-12.344465658522179,20.6932716546228,
57,9.549502822734212e-14,16.063373382223332,-12.791756056164655,20.534385489153216,
58,2.6484711736619897e-14,15.513853844467391,-13.235149960995866,20.392372485749288,
59,4.769238566047049e-14,14.959608636544456,-13.674512310937258,20.26776202496344,
60,1.9583987908804898e-14,14.400806586913788,-14.109709271960687,20.16102988671345,
